Mapping parameters for Dicologlossa cuneata (Wedge sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 |  47 ,
Bounding Box (NSWE): ,47,-35,-19,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Dicologlossa,cuneata,39.75,8.25,1300:498:3,0.13
Dicologlossa,cuneata,39.75,8.75,1300:498:4,0.16
Dicologlossa,cuneata,39.25,9.25,1300:499:1,0.18
Dicologlossa,cuneata,39.25,9.75,1300:499:2,0.15
Dicologlossa,cuneata,39.75,9.75,1300:499:4,0.16
Dicologlossa,cuneata,32.75,12.75,1301:122:4,0.18
Dicologlossa,cuneata,32.75,13.25,1301:123:3,0.15
Dicologlossa,cuneata,32.75,13.75,1301:123:4,0.12
Dicologlossa,cuneata,32.25,14.75,1301:124:2,0.12
Dicologlossa,cuneata,32.75,14.25,1301:124:3,0.10
Dicologlossa,cuneata,32.75,14.75,1301:124:4,0.09
Dicologlossa,cuneata,33.25,11.75,1301:131:2,0.18
Dicologlossa,cuneata,33.75,11.25,1301:131:3,0.17
Dicologlossa,cuneata,33.75,11.75,1301:131:4,0.13
Dicologlossa,cuneata,33.25,12.25,1301:132:1,0.12
Dicologlossa,cuneata,33.25,12.75,1301:132:2,0.11
Dicologlossa,cuneata,33.75,12.25,1301:132:3,0.10
Dicologlossa,cuneata,33.75,12.75,1301:132:4,0.09
Dicologlossa,cuneata,33.25,13.25,1301:133:1,0.17
Dicologlossa,cuneata,33.25,13.75,1301:133:2,0.11
Dicologlossa,cuneata,33.75,13.25,1301:133:3,0.07
Dicologlossa,cuneata,33.75,13.75,1301:133:4,0.04
Dicologlossa,cuneata,33.25,14.25,1301:134:1,0.06
Dicologlossa,cuneata,33.75,14.25,1301:134:3,0.03
Dicologlossa,cuneata,33.75,14.75,1301:134:4,0.04
Dicologlossa,cuneata,34.25,11.25,1301:141:1,0.14
Dicologlossa,cuneata,34.25,11.75,1301:141:2,0.11
Dicologlossa,cuneata,34.75,11.75,1301:141:4,0.15
Dicologlossa,cuneata,34.25,12.25,1301:142:1,0.10
Dicologlossa,cuneata,34.25,12.75,1301:142:2,0.09
Dicologlossa,cuneata,34.75,12.25,1301:142:3,0.12
Dicologlossa,cuneata,34.75,12.75,1301:142:4,0.10
Dicologlossa,cuneata,34.25,13.25,1301:143:1,0.09
Dicologlossa,cuneata,34.25,13.75,1301:143:2,0.08
Dicologlossa,cuneata,34.75,13.25,1301:143:3,0.09
Dicologlossa,cuneata,34.75,13.75,1301:143:4,0.08
Dicologlossa,cuneata,34.25,14.25,1301:144:1,0.07
Dicologlossa,cuneata,34.25,14.75,1301:144:2,0.08
Dicologlossa,cuneata,34.75,14.25,1301:144:3,0.03
Dicologlossa,cuneata,34.75,14.75,1301:144:4,0.05
Dicologlossa,cuneata,30.75,18.75,1301:208:4,0.13
Dicologlossa,cuneata,30.75,19.25,1301:209:3,0.13
Dicologlossa,cuneata,31.25,15.75,1301:215:2,0.17
Dicologlossa,cuneata,31.75,15.25,1301:215:3,0.14
Dicologlossa,cuneata,31.75,15.75,1301:215:4,0.12
Dicologlossa,cuneata,31.25,16.25,1301:216:1,0.13
Dicologlossa,cuneata,31.25,16.75,1301:216:2,0.09
Dicologlossa,cuneata,31.75,16.25,1301:216:3,0.09
Dicologlossa,cuneata,31.75,16.75,1301:216:4,0.07
Dicologlossa,cuneata,31.25,17.25,1301:217:1,0.09
Dicologlossa,cuneata,31.25,17.75,1301:217:2,0.10
Dicologlossa,cuneata,31.75,17.25,1301:217:3,0.05
Dicologlossa,cuneata,31.75,17.75,1301:217:4,0.04
Dicologlossa,cuneata,31.25,18.25,1301:218:1,0.08
Dicologlossa,cuneata,31.25,18.75,1301:218:2,0.06
Dicologlossa,cuneata,31.25,19.75,1301:219:2,0.12
Dicologlossa,cuneata,31.75,19.25,1301:219:3,0.05
Dicologlossa,cuneata,31.75,19.75,1301:219:4,0.08
Dicologlossa,cuneata,32.25,15.25,1301:225:1,0.09
Dicologlossa,cuneata,32.25,15.75,1301:225:2,0.08
Dicologlossa,cuneata,32.75,15.25,1301:225:3,0.08
Dicologlossa,cuneata,32.75,15.75,1301:225:4,0.05
Dicologlossa,cuneata,32.25,16.25,1301:226:1,0.07
Dicologlossa,cuneata,32.25,19.25,1301:229:1,0.03
Dicologlossa,cuneata,32.25,19.75,1301:229:2,0.08
Dicologlossa,cuneata,32.75,19.75,1301:229:4,0.01
Dicologlossa,cuneata,34.25,15.25,1301:245:1,0.06
Dicologlossa,cuneata,34.25,15.75,1301:245:2,0.05
Dicologlossa,cuneata,34.75,15.25,1301:245:3,0.08
Dicologlossa,cuneata,34.75,15.75,1301:245:4,0.07
Dicologlossa,cuneata,34.25,16.75,1301:246:2,0.03
Dicologlossa,cuneata,34.75,16.25,1301:246:3,0.04
Dicologlossa,cuneata,35.25,11.75,1301:351:2,0.15
Dicologlossa,cuneata,35.75,11.75,1301:351:4,0.12
Dicologlossa,cuneata,35.25,12.25,1301:352:1,0.13
Dicologlossa,cuneata,35.25,12.75,1301:352:2,0.11
Dicologlossa,cuneata,35.75,12.25,1301:352:3,0.12
Dicologlossa,cuneata,35.75,12.75,1301:352:4,0.11
Dicologlossa,cuneata,35.25,13.25,1301:353:1,0.10
Dicologlossa,cuneata,35.25,13.75,1301:353:2,0.09
Dicologlossa,cuneata,35.75,13.25,1301:353:3,0.11
Dicologlossa,cuneata,35.25,14.75,1301:354:2,0.09
Dicologlossa,cuneata,35.75,14.25,1301:354:3,0.14
Dicologlossa,cuneata,35.75,14.75,1301:354:4,0.13
Dicologlossa,cuneata,36.25,11.25,1301:361:1,0.12
Dicologlossa,cuneata,36.25,11.75,1301:361:2,0.12
Dicologlossa,cuneata,36.75,11.25,1301:361:3,0.12
Dicologlossa,cuneata,36.75,11.75,1301:361:4,0.11
Dicologlossa,cuneata,36.25,12.25,1301:362:1,0.09
Dicologlossa,cuneata,36.75,12.25,1301:362:3,0.12
Dicologlossa,cuneata,36.75,12.75,1301:362:4,0.14
Dicologlossa,cuneata,36.25,13.25,1301:363:1,0.03
Dicologlossa,cuneata,36.25,13.75,1301:363:2,0.08
Dicologlossa,cuneata,36.75,13.25,1301:363:3,0.15
Dicologlossa,cuneata,36.75,13.75,1301:363:4,0.14
Dicologlossa,cuneata,36.25,14.25,1301:364:1,0.15
Dicologlossa,cuneata,36.25,14.75,1301:364:2,0.13
Dicologlossa,cuneata,37.75,10.25,1301:370:3,0.11
Dicologlossa,cuneata,37.75,10.75,1301:370:4,0.10
Dicologlossa,cuneata,37.25,11.25,1301:371:1,0.11
Dicologlossa,cuneata,37.25,11.75,1301:371:2,0.11
Dicologlossa,cuneata,37.75,11.25,1301:371:3,0.10
Dicologlossa,cuneata,37.75,11.75,1301:371:4,0.11
Dicologlossa,cuneata,37.25,12.25,1301:372:1,0.11
Dicologlossa,cuneata,37.25,12.75,1301:372:2,0.12
Dicologlossa,cuneata,37.75,12.25,1301:372:3,0.11
Dicologlossa,cuneata,37.75,12.75,1301:372:4,0.12
Dicologlossa,cuneata,37.25,13.25,1301:373:1,0.15
Dicologlossa,cuneata,37.25,13.75,1301:373:2,0.16
Dicologlossa,cuneata,37.75,13.25,1301:373:3,0.13
Dicologlossa,cuneata,37.25,14.25,1301:374:1,0.17
Dicologlossa,cuneata,38.25,10.25,1301:380:1,0.03
Dicologlossa,cuneata,38.25,10.75,1301:380:2,0.03
Dicologlossa,cuneata,38.25,11.25,1301:381:1,0.08
Dicologlossa,cuneata,38.25,11.75,1301:381:2,0.10
Dicologlossa,cuneata,38.25,12.25,1301:382:1,0.12
Dicologlossa,cuneata,38.25,12.75,1301:382:2,0.14
Dicologlossa,cuneata,38.25,13.25,1301:383:1,0.11
Dicologlossa,cuneata,38.25,13.75,1301:383:2,0.10
Dicologlossa,cuneata,38.75,13.25,1301:383:3,0.09
Dicologlossa,cuneata,38.25,14.25,1301:384:1,0.11
Dicologlossa,cuneata,38.25,14.75,1301:384:2,0.10
Dicologlossa,cuneata,38.75,14.25,1301:384:3,0.08
Dicologlossa,cuneata,38.75,14.75,1301:384:4,0.08
Dicologlossa,cuneata,39.75,14.75,1301:394:4,0.01
Dicologlossa,cuneata,35.25,15.25,1301:455:1,0.12
Dicologlossa,cuneata,35.25,15.75,1301:455:2,0.10
Dicologlossa,cuneata,35.75,15.25,1301:455:3,0.13
Dicologlossa,cuneata,35.75,15.75,1301:455:4,0.02
Dicologlossa,cuneata,35.25,16.25,1301:456:1,0.01
Dicologlossa,cuneata,36.25,15.25,1301:465:1,0.13
Dicologlossa,cuneata,36.25,15.75,1301:465:2,0.03
Dicologlossa,cuneata,36.75,15.25,1301:465:3,0.14
Dicologlossa,cuneata,37.25,15.25,1301:475:1,0.13
Dicologlossa,cuneata,37.75,15.25,1301:475:3,0.13
Dicologlossa,cuneata,37.75,15.75,1301:475:4,0.16
Dicologlossa,cuneata,37.75,16.25,1301:476:3,0.11
Dicologlossa,cuneata,38.25,15.25,1301:485:1,0.13
Dicologlossa,cuneata,38.25,15.75,1301:485:2,0.15
Dicologlossa,cuneata,38.75,15.25,1301:485:3,0.08
Dicologlossa,cuneata,38.75,15.75,1301:485:4,0.15
Dicologlossa,cuneata,38.25,16.25,1301:486:1,0.14
Dicologlossa,cuneata,38.25,16.75,1301:486:2,0.09
Dicologlossa,cuneata,38.75,16.25,1301:486:3,0.17
Dicologlossa,cuneata,38.75,16.75,1301:486:4,0.16
Dicologlossa,cuneata,38.75,17.25,1301:487:3,0.09
Dicologlossa,cuneata,39.25,15.75,1301:495:2,0.11
Dicologlossa,cuneata,39.75,15.25,1301:495:3,0.06
Dicologlossa,cuneata,39.75,15.75,1301:495:4,0.06
Dicologlossa,cuneata,39.25,16.25,1301:496:1,0.17
Dicologlossa,cuneata,39.75,16.75,1301:496:4,0.16
Dicologlossa,cuneata,39.25,17.25,1301:497:1,0.07
Dicologlossa,cuneata,39.75,17.25,1301:497:3,0.07
Dicologlossa,cuneata,39.75,17.75,1301:497:4,0.05
Dicologlossa,cuneata,39.75,18.25,1301:498:3,0.05
Dicologlossa,cuneata,39.75,18.75,1301:498:4,0.07
Dicologlossa,cuneata,39.25,19.75,1301:499:2,0.07
Dicologlossa,cuneata,39.75,19.25,1301:499:3,0.11
Dicologlossa,cuneata,31.25,20.25,1302:110:1,0.15
Dicologlossa,cuneata,31.75,20.25,1302:110:3,0.11
Dicologlossa,cuneata,32.25,20.25,1302:120:1,0.08
Dicologlossa,cuneata,32.75,20.25,1302:120:3,0.06
Dicologlossa,cuneata,32.75,20.75,1302:120:4,0.06
Dicologlossa,cuneata,32.75,21.25,1302:121:3,0.06
Dicologlossa,cuneata,32.75,21.75,1302:121:4,0.05
Dicologlossa,cuneata,32.75,22.25,1302:122:3,0.05
Dicologlossa,cuneata,32.75,22.75,1302:122:4,0.04
Dicologlossa,cuneata,32.25,23.25,1302:123:1,0.04
Dicologlossa,cuneata,32.25,23.75,1302:123:2,0.03
Dicologlossa,cuneata,32.75,23.25,1302:123:3,0.04
Dicologlossa,cuneata,32.75,23.75,1302:123:4,0.03
Dicologlossa,cuneata,32.25,24.25,1302:124:1,0.03
Dicologlossa,cuneata,32.25,24.75,1302:124:2,0.02
Dicologlossa,cuneata,33.25,22.25,1302:132:1,0.01
Dicologlossa,cuneata,33.25,22.75,1302:132:2,0.01
Dicologlossa,cuneata,33.25,23.25,1302:133:1,0.02
Dicologlossa,cuneata,34.75,23.75,1302:143:4,0.02
Dicologlossa,cuneata,34.75,24.25,1302:144:3,0.02
Dicologlossa,cuneata,34.75,24.75,1302:144:4,0.02
Dicologlossa,cuneata,30.75,28.75,1302:208:4,0.08
Dicologlossa,cuneata,30.75,29.25,1302:209:3,0.06
Dicologlossa,cuneata,31.75,25.25,1302:215:3,0.02
Dicologlossa,cuneata,31.75,25.75,1302:215:4,0.02
Dicologlossa,cuneata,31.25,26.75,1302:216:2,0.06
Dicologlossa,cuneata,31.75,26.25,1302:216:3,0.02
Dicologlossa,cuneata,31.75,26.75,1302:216:4,0.02
Dicologlossa,cuneata,31.25,27.25,1302:217:1,0.05
Dicologlossa,cuneata,31.25,27.75,1302:217:2,0.05
Dicologlossa,cuneata,31.75,27.25,1302:217:3,0.02
Dicologlossa,cuneata,31.25,28.25,1302:218:1,0.05
Dicologlossa,cuneata,31.25,28.75,1302:218:2,0.04
Dicologlossa,cuneata,31.25,29.25,1302:219:1,0.05
Dicologlossa,cuneata,31.25,29.75,1302:219:2,0.08
Dicologlossa,cuneata,31.75,29.75,1302:219:4,0.04
Dicologlossa,cuneata,32.25,25.25,1302:225:1,0.02
Dicologlossa,cuneata,34.75,25.25,1302:245:3,0.01
Dicologlossa,cuneata,34.75,25.75,1302:245:4,0.01
Dicologlossa,cuneata,34.75,26.25,1302:246:3,0.02
Dicologlossa,cuneata,35.25,23.75,1302:353:2,0.02
Dicologlossa,cuneata,35.75,23.25,1302:353:3,0.10
Dicologlossa,cuneata,35.75,23.75,1302:353:4,0.08
Dicologlossa,cuneata,35.25,24.25,1302:354:1,0.03
Dicologlossa,cuneata,35.25,24.75,1302:354:2,0.03
Dicologlossa,cuneata,35.75,24.25,1302:354:3,0.07
Dicologlossa,cuneata,35.75,24.75,1302:354:4,0.01
Dicologlossa,cuneata,36.75,21.75,1302:361:4,0.19
Dicologlossa,cuneata,36.25,22.25,1302:362:1,0.11
Dicologlossa,cuneata,36.25,22.75,1302:362:2,0.14
Dicologlossa,cuneata,36.25,23.25,1302:363:1,0.16
Dicologlossa,cuneata,36.25,23.75,1302:363:2,0.02
Dicologlossa,cuneata,36.75,23.75,1302:363:4,0.18
Dicologlossa,cuneata,36.25,24.25,1302:364:1,0.02
Dicologlossa,cuneata,36.25,24.75,1302:364:2,0.05
Dicologlossa,cuneata,36.75,24.25,1302:364:3,0.14
Dicologlossa,cuneata,36.75,24.75,1302:364:4,0.10
Dicologlossa,cuneata,37.75,20.75,1302:370:4,0.06
Dicologlossa,cuneata,37.25,21.25,1302:371:1,0.13
Dicologlossa,cuneata,37.75,21.25,1302:371:3,0.11
Dicologlossa,cuneata,37.25,24.25,1302:374:1,0.19
Dicologlossa,cuneata,37.25,24.75,1302:374:2,0.13
Dicologlossa,cuneata,38.25,20.25,1302:380:1,0.05
Dicologlossa,cuneata,38.25,20.75,1302:380:2,0.09
Dicologlossa,cuneata,38.75,20.25,1302:380:3,0.01
Dicologlossa,cuneata,39.25,20.25,1302:390:1,0.18
Dicologlossa,cuneata,35.25,25.25,1302:455:1,0.03
Dicologlossa,cuneata,35.25,25.75,1302:455:2,0.03
Dicologlossa,cuneata,35.75,25.25,1302:455:3,0.03
Dicologlossa,cuneata,35.75,25.75,1302:455:4,0.04
Dicologlossa,cuneata,35.25,26.25,1302:456:1,0.03
Dicologlossa,cuneata,35.25,26.75,1302:456:2,0.01
Dicologlossa,cuneata,35.75,26.25,1302:456:3,0.03
Dicologlossa,cuneata,35.75,26.75,1302:456:4,0.01
Dicologlossa,cuneata,35.25,27.25,1302:457:1,0.01
Dicologlossa,cuneata,35.75,27.25,1302:457:3,0.01
Dicologlossa,cuneata,36.25,25.25,1302:465:1,0.05
Dicologlossa,cuneata,36.25,25.75,1302:465:2,0.03
Dicologlossa,cuneata,36.75,25.25,1302:465:3,0.07
Dicologlossa,cuneata,36.75,25.75,1302:465:4,0.04
Dicologlossa,cuneata,36.25,26.25,1302:466:1,0.02
Dicologlossa,cuneata,36.25,26.75,1302:466:2,0.01
Dicologlossa,cuneata,36.75,26.25,1302:466:3,0.02
Dicologlossa,cuneata,36.75,26.75,1302:466:4,0.01
Dicologlossa,cuneata,36.25,27.25,1302:467:1,0.01
Dicologlossa,cuneata,36.75,29.25,1302:469:3,0.15
Dicologlossa,cuneata,37.25,25.25,1302:475:1,0.09
Dicologlossa,cuneata,37.25,25.75,1302:475:2,0.05
Dicologlossa,cuneata,37.75,25.25,1302:475:3,0.15
Dicologlossa,cuneata,37.75,25.75,1302:475:4,0.09
Dicologlossa,cuneata,37.25,26.25,1302:476:1,0.02
Dicologlossa,cuneata,37.25,26.75,1302:476:2,0.02
Dicologlossa,cuneata,37.75,26.25,1302:476:3,0.12
Dicologlossa,cuneata,37.75,26.75,1302:476:4,0.12
Dicologlossa,cuneata,37.25,27.25,1302:477:1,0.03
Dicologlossa,cuneata,37.25,27.75,1302:477:2,0.15
Dicologlossa,cuneata,38.25,26.75,1302:486:2,0.19
Dicologlossa,cuneata,31.25,30.25,1303:110:1,0.11
Dicologlossa,cuneata,31.25,30.75,1303:110:2,0.14
Dicologlossa,cuneata,31.75,30.25,1303:110:3,0.08
Dicologlossa,cuneata,31.75,30.75,1303:110:4,0.14
Dicologlossa,cuneata,31.75,32.25,1303:112:3,0.12
Dicologlossa,cuneata,31.75,32.75,1303:112:4,0.05
Dicologlossa,cuneata,31.25,33.75,1303:113:2,0.19
Dicologlossa,cuneata,31.75,33.25,1303:113:3,0.03
Dicologlossa,cuneata,31.75,33.75,1303:113:4,0.04
Dicologlossa,cuneata,32.25,30.25,1303:120:1,0.01
Dicologlossa,cuneata,32.25,30.75,1303:120:2,0.01
Dicologlossa,cuneata,32.25,31.25,1303:121:1,0.01
Dicologlossa,cuneata,32.25,31.75,1303:121:2,0.01
Dicologlossa,cuneata,32.25,32.25,1303:122:1,0.01
Dicologlossa,cuneata,32.25,34.25,1303:124:1,0.04
Dicologlossa,cuneata,32.75,34.75,1303:124:4,0.16
Dicologlossa,cuneata,33.25,34.75,1303:134:2,0.11
Dicologlossa,cuneata,32.75,35.25,1303:225:3,0.18
Dicologlossa,cuneata,33.25,35.25,1303:235:1,0.14
Dicologlossa,cuneata,33.75,35.25,1303:235:3,0.08
Dicologlossa,cuneata,33.75,35.75,1303:235:4,0.15
Dicologlossa,cuneata,34.25,35.75,1303:245:2,0.10
Dicologlossa,cuneata,34.75,35.75,1303:245:4,0.03
Dicologlossa,cuneata,36.25,32.75,1303:362:2,0.03
Dicologlossa,cuneata,36.25,33.25,1303:363:1,0.03
Dicologlossa,cuneata,36.25,33.75,1303:363:2,0.01
Dicologlossa,cuneata,36.25,34.25,1303:364:1,0.01
Dicologlossa,cuneata,36.25,34.75,1303:364:2,0.01
Dicologlossa,cuneata,36.75,34.75,1303:364:4,0.03
Dicologlossa,cuneata,35.25,35.75,1303:455:2,0.02
Dicologlossa,cuneata,35.75,35.75,1303:455:4,0.04
Dicologlossa,cuneata,36.25,35.25,1303:465:1,0.04
Dicologlossa,cuneata,36.25,35.75,1303:465:2,0.08
Dicologlossa,cuneata,36.75,35.25,1303:465:3,0.10
Dicologlossa,cuneata,36.75,35.75,1303:465:4,0.10
Dicologlossa,cuneata,41.25,3.25,1400:113:1,0.15
Dicologlossa,cuneata,40.25,7.75,1400:207:2,0.05
Dicologlossa,cuneata,40.75,7.75,1400:207:4,0.06
Dicologlossa,cuneata,40.25,8.75,1400:208:2,0.18
Dicologlossa,cuneata,40.75,8.25,1400:208:3,0.16
Dicologlossa,cuneata,40.75,8.75,1400:208:4,0.17
Dicologlossa,cuneata,40.25,9.75,1400:209:2,0.06
Dicologlossa,cuneata,40.75,9.75,1400:209:4,0.07
Dicologlossa,cuneata,41.25,8.25,1400:218:1,0.07
Dicologlossa,cuneata,41.25,8.75,1400:218:2,0.15
Dicologlossa,cuneata,41.75,8.75,1400:218:4,0.08
Dicologlossa,cuneata,41.25,9.25,1400:219:1,0.11
Dicologlossa,cuneata,41.25,9.75,1400:219:2,0.07
Dicologlossa,cuneata,41.75,9.25,1400:219:3,0.07
Dicologlossa,cuneata,41.75,9.75,1400:219:4,0.04
Dicologlossa,cuneata,42.75,5.25,1400:225:3,0.08
Dicologlossa,cuneata,42.75,5.75,1400:225:4,0.02
Dicologlossa,cuneata,42.75,6.25,1400:226:3,0.08
Dicologlossa,cuneata,42.25,8.75,1400:228:2,0.08
Dicologlossa,cuneata,42.75,8.75,1400:228:4,0.09
Dicologlossa,cuneata,42.25,9.25,1400:229:1,0.08
Dicologlossa,cuneata,42.25,9.75,1400:229:2,0.05
Dicologlossa,cuneata,42.75,9.25,1400:229:3,0.12
Dicologlossa,cuneata,42.75,9.75,1400:229:4,0.13
Dicologlossa,cuneata,43.25,6.75,1400:236:2,0.05
Dicologlossa,cuneata,43.75,8.25,1400:238:3,0.11
Dicologlossa,cuneata,43.25,9.25,1400:239:1,0.04
Dicologlossa,cuneata,43.25,9.75,1400:239:2,0.05
Dicologlossa,cuneata,43.75,9.25,1400:239:3,0.02
Dicologlossa,cuneata,43.75,9.75,1400:239:4,0.10
Dicologlossa,cuneata,44.25,8.75,1400:248:2,0.04
Dicologlossa,cuneata,44.25,9.25,1400:249:1,0.04
Dicologlossa,cuneata,40.25,10.25,1401:100:1,0.06
Dicologlossa,cuneata,40.75,10.25,1401:100:3,0.05
Dicologlossa,cuneata,40.75,12.75,1401:102:4,0.06
Dicologlossa,cuneata,40.75,13.25,1401:103:3,0.07
Dicologlossa,cuneata,40.25,14.75,1401:104:2,0.09
Dicologlossa,cuneata,41.25,10.75,1401:110:2,0.03
Dicologlossa,cuneata,41.75,10.25,1401:110:3,0.03
Dicologlossa,cuneata,41.75,11.75,1401:111:4,0.17
Dicologlossa,cuneata,41.25,12.25,1401:112:1,0.15
Dicologlossa,cuneata,42.25,10.25,1401:120:1,0.04
Dicologlossa,cuneata,42.25,10.75,1401:120:2,0.04
Dicologlossa,cuneata,42.75,10.25,1401:120:3,0.04
Dicologlossa,cuneata,42.75,10.75,1401:120:4,0.11
Dicologlossa,cuneata,42.25,11.25,1401:121:1,0.14
Dicologlossa,cuneata,42.75,14.75,1401:124:4,0.19
Dicologlossa,cuneata,43.25,14.75,1401:134:2,0.14
Dicologlossa,cuneata,40.25,15.25,1401:205:1,0.13
Dicologlossa,cuneata,40.25,15.75,1401:205:2,0.17
Dicologlossa,cuneata,40.25,17.25,1401:207:1,0.10
Dicologlossa,cuneata,40.25,17.75,1401:207:2,0.04
Dicologlossa,cuneata,40.75,17.25,1401:207:3,0.16
Dicologlossa,cuneata,40.75,17.75,1401:207:4,0.14
Dicologlossa,cuneata,40.25,18.25,1401:208:1,0.09
Dicologlossa,cuneata,40.25,18.75,1401:208:2,0.11
Dicologlossa,cuneata,40.75,18.25,1401:208:3,0.16
Dicologlossa,cuneata,40.75,18.75,1401:208:4,0.18
Dicologlossa,cuneata,40.25,19.25,1401:209:1,0.16
Dicologlossa,cuneata,41.75,16.75,1401:216:4,0.13
Dicologlossa,cuneata,41.25,17.25,1401:217:1,0.16
Dicologlossa,cuneata,41.25,17.75,1401:217:2,0.12
Dicologlossa,cuneata,41.75,17.25,1401:217:3,0.10
Dicologlossa,cuneata,41.25,18.25,1401:218:1,0.08
Dicologlossa,cuneata,41.75,18.25,1401:218:3,0.05
Dicologlossa,cuneata,42.25,15.75,1401:225:2,0.13
Dicologlossa,cuneata,42.75,15.25,1401:225:3,0.14
Dicologlossa,cuneata,42.75,15.75,1401:225:4,0.16
Dicologlossa,cuneata,42.25,16.25,1401:226:1,0.17
Dicologlossa,cuneata,42.25,16.75,1401:226:2,0.16
Dicologlossa,cuneata,42.75,16.25,1401:226:3,0.19
Dicologlossa,cuneata,42.25,17.25,1401:227:1,0.12
Dicologlossa,cuneata,42.25,17.75,1401:227:2,0.06
Dicologlossa,cuneata,43.25,15.25,1401:235:1,0.16
Dicologlossa,cuneata,43.25,15.75,1401:235:2,0.18
Dicologlossa,cuneata,41.75,28.25,1402:218:3,0.06
Dicologlossa,cuneata,41.75,28.75,1402:218:4,0.06
Dicologlossa,cuneata,41.25,29.25,1402:219:1,0.14
Dicologlossa,cuneata,41.25,29.75,1402:219:2,0.12
Dicologlossa,cuneata,41.75,29.25,1402:219:3,0.06
Dicologlossa,cuneata,42.25,27.75,1402:227:2,0.04
Dicologlossa,cuneata,42.75,27.75,1402:227:4,0.03
