Mapping parameters for Cryptacanthodes maculatus (Wrymouth)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,55,39,-75,-49

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Cryptacanthodes,maculatus,51.75,-54.75,7505:114:4,0.09
Cryptacanthodes,maculatus,50.25,-58.25,7505:208:1,0.09
Cryptacanthodes,maculatus,51.75,-57.25,7505:217:3,0.19
Cryptacanthodes,maculatus,53.25,-55.75,7505:235:2,0.01
Cryptacanthodes,maculatus,53.25,-56.25,7505:236:1,0.01
Cryptacanthodes,maculatus,53.75,-56.75,7505:236:4,0.04
Cryptacanthodes,maculatus,53.75,-57.25,7505:237:3,0.13
Cryptacanthodes,maculatus,53.75,-58.75,7505:238:4,0.17
Cryptacanthodes,maculatus,53.25,-59.75,7505:239:2,0.16
Cryptacanthodes,maculatus,53.75,-59.25,7505:239:3,0.12
Cryptacanthodes,maculatus,54.25,-56.25,7505:246:1,0.01
Cryptacanthodes,maculatus,54.25,-57.25,7505:247:1,0.04
Cryptacanthodes,maculatus,54.25,-57.75,7505:247:2,0.15
Cryptacanthodes,maculatus,54.25,-58.25,7505:248:1,0.08
Cryptacanthodes,maculatus,53.25,-60.25,7506:130:1,0.11
Cryptacanthodes,maculatus,53.75,-60.25,7506:130:3,0.02
Cryptacanthodes,maculatus,50.25,-65.25,7506:205:1,0.13
Cryptacanthodes,maculatus,50.25,-65.75,7506:205:2,0.10
Cryptacanthodes,maculatus,50.25,-66.25,7506:206:1,0.10
Cryptacanthodes,maculatus,50.25,-66.75,7506:206:2,0.08
Cryptacanthodes,maculatus,39.75,-72.25,7307:392:3,0.27
Cryptacanthodes,maculatus,39.25,-73.25,7307:393:1,0.39
Cryptacanthodes,maculatus,44.75,-54.25,7405:144:3,0.33
Cryptacanthodes,maculatus,46.75,-51.75,7405:361:4,0.38
Cryptacanthodes,maculatus,46.75,-54.75,7405:364:4,0.33
Cryptacanthodes,maculatus,47.75,-50.25,7405:370:3,0.22
Cryptacanthodes,maculatus,48.25,-51.25,7405:381:1,0.25
Cryptacanthodes,maculatus,45.75,-57.75,7405:457:4,0.29
Cryptacanthodes,maculatus,46.75,-57.75,7405:467:4,0.22
Cryptacanthodes,maculatus,46.25,-58.75,7405:468:2,0.35
Cryptacanthodes,maculatus,47.25,-56.75,7405:476:2,0.36
Cryptacanthodes,maculatus,48.75,-59.75,7405:489:4,0.27
Cryptacanthodes,maculatus,49.25,-55.25,7405:495:1,0.27
Cryptacanthodes,maculatus,43.75,-61.75,7406:131:4,0.23
Cryptacanthodes,maculatus,43.75,-62.25,7406:132:3,0.23
Cryptacanthodes,maculatus,43.25,-64.25,7406:134:1,0.35
Cryptacanthodes,maculatus,40.75,-66.75,7406:206:4,0.30
Cryptacanthodes,maculatus,40.25,-68.25,7406:208:1,0.27
Cryptacanthodes,maculatus,43.25,-68.75,7406:238:2,0.22
Cryptacanthodes,maculatus,43.25,-69.25,7406:239:1,0.31
Cryptacanthodes,maculatus,47.75,-60.25,7406:370:3,0.29
Cryptacanthodes,maculatus,49.25,-60.75,7406:390:2,0.38
Cryptacanthodes,maculatus,49.75,-63.25,7406:393:3,0.31
Cryptacanthodes,maculatus,49.25,-64.25,7406:394:1,0.39
Cryptacanthodes,maculatus,49.25,-64.75,7406:394:2,0.25
Cryptacanthodes,maculatus,49.75,-64.25,7406:394:3,0.35
Cryptacanthodes,maculatus,49.75,-64.75,7406:394:4,0.20
Cryptacanthodes,maculatus,47.75,-66.25,7406:476:3,0.35
Cryptacanthodes,maculatus,48.25,-65.75,7406:485:2,0.34
Cryptacanthodes,maculatus,48.25,-66.25,7406:486:1,0.20
Cryptacanthodes,maculatus,40.25,-70.75,7407:100:2,0.33
Cryptacanthodes,maculatus,40.25,-71.25,7407:101:1,0.36
Cryptacanthodes,maculatus,41.75,-71.25,7407:111:3,0.32
Cryptacanthodes,maculatus,41.25,-73.25,7407:113:1,0.20
Cryptacanthodes,maculatus,52.25,-55.25,7505:225:1,0.26
Cryptacanthodes,maculatus,52.25,-55.75,7505:225:2,0.31
Cryptacanthodes,maculatus,52.75,-55.75,7505:225:4,0.26
Cryptacanthodes,maculatus,50.25,-62.75,7506:102:2,0.38
Cryptacanthodes,maculatus,50.25,-63.25,7506:103:1,0.34
Cryptacanthodes,maculatus,50.25,-63.75,7506:103:2,0.32
Cryptacanthodes,maculatus,50.25,-64.25,7506:104:1,0.26
Cryptacanthodes,maculatus,50.25,-64.75,7506:104:2,0.20
Cryptacanthodes,maculatus,39.75,-72.75,7307:392:4,0.48
Cryptacanthodes,maculatus,39.25,-73.75,7307:393:2,0.50
Cryptacanthodes,maculatus,39.75,-73.25,7307:393:3,0.53
Cryptacanthodes,maculatus,39.75,-73.75,7307:393:4,0.58
Cryptacanthodes,maculatus,39.25,-74.25,7307:394:1,0.55
Cryptacanthodes,maculatus,47.75,-49.75,7404:479:4,0.53
Cryptacanthodes,maculatus,44.75,-53.75,7405:143:4,0.56
Cryptacanthodes,maculatus,45.25,-54.25,7405:354:1,0.58
Cryptacanthodes,maculatus,46.25,-52.75,7405:362:2,0.40
Cryptacanthodes,maculatus,46.75,-52.25,7405:362:3,0.49
Cryptacanthodes,maculatus,45.25,-59.25,7405:459:1,0.51
Cryptacanthodes,maculatus,45.25,-59.75,7405:459:2,0.47
Cryptacanthodes,maculatus,46.75,-59.25,7405:469:3,0.47
Cryptacanthodes,maculatus,49.75,-59.75,7405:499:4,0.44
Cryptacanthodes,maculatus,42.75,-63.25,7406:123:3,0.47
Cryptacanthodes,maculatus,43.75,-60.25,7406:130:3,0.50
Cryptacanthodes,maculatus,43.25,-62.25,7406:132:1,0.56
Cryptacanthodes,maculatus,43.25,-63.75,7406:133:2,0.44
Cryptacanthodes,maculatus,44.25,-61.25,7406:141:1,0.56
Cryptacanthodes,maculatus,44.75,-61.25,7406:141:3,0.49
Cryptacanthodes,maculatus,44.25,-62.25,7406:142:1,0.45
Cryptacanthodes,maculatus,40.75,-67.25,7406:207:3,0.58
Cryptacanthodes,maculatus,40.25,-68.75,7406:208:2,0.41
Cryptacanthodes,maculatus,40.25,-69.25,7406:209:1,0.48
Cryptacanthodes,maculatus,40.25,-69.75,7406:209:2,0.53
Cryptacanthodes,maculatus,41.75,-65.75,7406:215:4,0.48
Cryptacanthodes,maculatus,41.25,-66.25,7406:216:1,0.57
Cryptacanthodes,maculatus,42.75,-65.25,7406:225:3,0.45
Cryptacanthodes,maculatus,42.75,-69.25,7406:229:3,0.45
Cryptacanthodes,maculatus,42.75,-69.75,7406:229:4,0.55
Cryptacanthodes,maculatus,43.25,-66.75,7406:236:2,0.55
Cryptacanthodes,maculatus,43.75,-66.75,7406:236:4,0.40
Cryptacanthodes,maculatus,48.75,-64.25,7406:384:3,0.54
Cryptacanthodes,maculatus,49.75,-62.75,7406:392:4,0.42
Cryptacanthodes,maculatus,49.75,-63.75,7406:393:4,0.44
Cryptacanthodes,maculatus,48.25,-65.25,7406:485:1,0.53
Cryptacanthodes,maculatus,40.25,-70.25,7407:100:1,0.41
Cryptacanthodes,maculatus,40.25,-71.75,7407:101:2,0.53
Cryptacanthodes,maculatus,40.25,-72.25,7407:102:1,0.58
Cryptacanthodes,maculatus,40.25,-73.75,7407:103:2,0.51
Cryptacanthodes,maculatus,51.75,-55.25,7505:215:3,0.41
Cryptacanthodes,maculatus,51.75,-55.75,7505:215:4,0.47
Cryptacanthodes,maculatus,51.75,-56.25,7505:216:3,0.55
Cryptacanthodes,maculatus,50.25,-62.25,7506:102:1,0.57
Cryptacanthodes,maculatus,39.75,-74.25,7307:394:3,0.61
Cryptacanthodes,maculatus,46.75,-49.75,7404:469:4,0.76
Cryptacanthodes,maculatus,47.25,-49.25,7404:479:1,0.62
Cryptacanthodes,maculatus,47.25,-49.75,7404:479:2,0.62
Cryptacanthodes,maculatus,43.25,-51.25,7405:131:1,0.62
Cryptacanthodes,maculatus,44.25,-57.25,7405:247:1,0.78
Cryptacanthodes,maculatus,44.75,-58.75,7405:248:4,0.71
Cryptacanthodes,maculatus,44.25,-59.75,7405:249:2,0.71
Cryptacanthodes,maculatus,44.75,-59.25,7405:249:3,0.73
Cryptacanthodes,maculatus,45.25,-52.75,7405:352:2,0.69
Cryptacanthodes,maculatus,45.75,-53.75,7405:353:4,0.67
Cryptacanthodes,maculatus,46.25,-50.25,7405:360:1,0.78
Cryptacanthodes,maculatus,46.75,-50.25,7405:360:3,0.60
Cryptacanthodes,maculatus,46.75,-50.75,7405:360:4,0.73
Cryptacanthodes,maculatus,46.75,-51.25,7405:361:3,0.62
Cryptacanthodes,maculatus,46.25,-53.75,7405:363:2,0.69
Cryptacanthodes,maculatus,46.25,-54.25,7405:364:1,0.65
Cryptacanthodes,maculatus,46.25,-54.75,7405:364:2,0.60
Cryptacanthodes,maculatus,47.25,-50.25,7405:370:1,0.62
Cryptacanthodes,maculatus,45.25,-58.75,7405:458:2,0.71
Cryptacanthodes,maculatus,47.25,-57.75,7405:477:2,0.76
Cryptacanthodes,maculatus,42.75,-63.75,7406:123:4,0.60
Cryptacanthodes,maculatus,42.75,-64.25,7406:124:3,0.76
Cryptacanthodes,maculatus,43.25,-61.25,7406:131:1,0.65
Cryptacanthodes,maculatus,43.25,-61.75,7406:131:2,0.74
Cryptacanthodes,maculatus,43.25,-62.75,7406:132:2,0.60
Cryptacanthodes,maculatus,43.25,-64.75,7406:134:2,0.71
Cryptacanthodes,maculatus,44.25,-60.25,7406:140:1,0.77
Cryptacanthodes,maculatus,44.25,-60.75,7406:140:2,0.66
Cryptacanthodes,maculatus,44.25,-61.75,7406:141:2,0.69
Cryptacanthodes,maculatus,42.25,-65.25,7406:225:1,0.71
Cryptacanthodes,maculatus,42.25,-65.75,7406:225:2,0.64
Cryptacanthodes,maculatus,42.75,-65.75,7406:225:4,0.76
Cryptacanthodes,maculatus,42.25,-66.25,7406:226:1,0.64
Cryptacanthodes,maculatus,42.75,-68.75,7406:228:4,0.66
Cryptacanthodes,maculatus,43.75,-68.25,7406:238:3,0.67
Cryptacanthodes,maculatus,44.25,-66.75,7406:246:2,0.73
Cryptacanthodes,maculatus,44.25,-69.25,7406:249:1,0.78
Cryptacanthodes,maculatus,45.75,-62.75,7406:352:4,0.69
Cryptacanthodes,maculatus,45.75,-63.25,7406:353:3,0.68
Cryptacanthodes,maculatus,46.25,-63.25,7406:363:1,0.79
Cryptacanthodes,maculatus,46.25,-63.75,7406:363:2,0.74
Cryptacanthodes,maculatus,46.25,-64.25,7406:364:1,0.75
Cryptacanthodes,maculatus,48.75,-61.75,7406:381:4,0.67
Cryptacanthodes,maculatus,48.75,-63.75,7406:383:4,0.73
Cryptacanthodes,maculatus,49.75,-60.25,7406:390:3,0.64
Cryptacanthodes,maculatus,49.75,-60.75,7406:390:4,0.64
Cryptacanthodes,maculatus,49.75,-61.25,7406:391:3,0.62
Cryptacanthodes,maculatus,49.75,-61.75,7406:391:4,0.68
Cryptacanthodes,maculatus,49.75,-62.25,7406:392:3,0.64
Cryptacanthodes,maculatus,49.25,-63.75,7406:393:2,0.60
Cryptacanthodes,maculatus,45.25,-66.25,7406:456:1,0.79
Cryptacanthodes,maculatus,47.75,-65.25,7406:475:3,0.61
Cryptacanthodes,maculatus,47.75,-65.75,7406:475:4,0.65
Cryptacanthodes,maculatus,40.75,-70.75,7407:100:4,0.78
Cryptacanthodes,maculatus,40.75,-71.25,7407:101:3,0.72
Cryptacanthodes,maculatus,40.75,-71.75,7407:101:4,0.72
Cryptacanthodes,maculatus,40.25,-72.75,7407:102:2,0.61
Cryptacanthodes,maculatus,40.75,-72.25,7407:102:3,0.74
Cryptacanthodes,maculatus,40.75,-72.75,7407:102:4,0.75
Cryptacanthodes,maculatus,40.25,-73.25,7407:103:1,0.63
Cryptacanthodes,maculatus,40.75,-73.25,7407:103:3,0.63
Cryptacanthodes,maculatus,41.25,-71.75,7407:111:2,0.73
Cryptacanthodes,maculatus,41.25,-72.25,7407:112:1,0.63
Cryptacanthodes,maculatus,43.25,-70.75,7407:130:2,0.64
Cryptacanthodes,maculatus,43.75,-70.25,7407:130:3,0.67
Cryptacanthodes,maculatus,50.75,-58.25,7505:208:3,0.64
Cryptacanthodes,maculatus,51.25,-55.25,7505:215:1,0.63
Cryptacanthodes,maculatus,51.75,-56.75,7505:216:4,0.64
Cryptacanthodes,maculatus,51.25,-57.25,7505:217:1,0.66
Cryptacanthodes,maculatus,50.25,-61.75,7506:101:2,0.76
Cryptacanthodes,maculatus,43.25,-49.75,7404:239:2,1.00
Cryptacanthodes,maculatus,43.75,-49.25,7404:239:3,1.00
Cryptacanthodes,maculatus,43.75,-49.75,7404:239:4,1.00
Cryptacanthodes,maculatus,44.25,-49.25,7404:249:1,1.00
Cryptacanthodes,maculatus,44.25,-49.75,7404:249:2,1.00
Cryptacanthodes,maculatus,44.75,-49.25,7404:249:3,1.00
Cryptacanthodes,maculatus,44.75,-49.75,7404:249:4,1.00
Cryptacanthodes,maculatus,45.25,-49.25,7404:459:1,0.85
Cryptacanthodes,maculatus,45.25,-49.75,7404:459:2,1.00
Cryptacanthodes,maculatus,45.75,-49.25,7404:459:3,1.00
Cryptacanthodes,maculatus,45.75,-49.75,7404:459:4,1.00
Cryptacanthodes,maculatus,46.25,-49.25,7404:469:1,0.91
Cryptacanthodes,maculatus,46.25,-49.75,7404:469:2,0.84
Cryptacanthodes,maculatus,46.75,-49.25,7404:469:3,0.87
Cryptacanthodes,maculatus,42.75,-50.25,7405:120:3,1.00
Cryptacanthodes,maculatus,43.25,-50.25,7405:130:1,1.00
Cryptacanthodes,maculatus,43.25,-50.75,7405:130:2,1.00
Cryptacanthodes,maculatus,43.75,-50.25,7405:130:3,1.00
Cryptacanthodes,maculatus,43.75,-50.75,7405:130:4,1.00
Cryptacanthodes,maculatus,43.75,-51.25,7405:131:3,0.87
Cryptacanthodes,maculatus,43.75,-51.75,7405:131:4,1.00
Cryptacanthodes,maculatus,43.75,-52.25,7405:132:3,1.00
Cryptacanthodes,maculatus,44.25,-50.25,7405:140:1,1.00
Cryptacanthodes,maculatus,44.25,-50.75,7405:140:2,1.00
Cryptacanthodes,maculatus,44.75,-50.25,7405:140:3,1.00
Cryptacanthodes,maculatus,44.75,-50.75,7405:140:4,1.00
Cryptacanthodes,maculatus,44.25,-51.25,7405:141:1,1.00
Cryptacanthodes,maculatus,44.25,-51.75,7405:141:2,1.00
Cryptacanthodes,maculatus,44.75,-51.25,7405:141:3,1.00
Cryptacanthodes,maculatus,44.75,-51.75,7405:141:4,1.00
Cryptacanthodes,maculatus,44.25,-52.25,7405:142:1,1.00
Cryptacanthodes,maculatus,44.25,-52.75,7405:142:2,1.00
Cryptacanthodes,maculatus,44.75,-52.25,7405:142:3,1.00
Cryptacanthodes,maculatus,44.75,-52.75,7405:142:4,1.00
Cryptacanthodes,maculatus,44.75,-53.25,7405:143:3,1.00
Cryptacanthodes,maculatus,43.75,-59.25,7405:239:3,1.00
Cryptacanthodes,maculatus,43.75,-59.75,7405:239:4,0.80
Cryptacanthodes,maculatus,44.25,-57.75,7405:247:2,1.00
Cryptacanthodes,maculatus,44.75,-57.25,7405:247:3,1.00
Cryptacanthodes,maculatus,44.75,-57.75,7405:247:4,1.00
Cryptacanthodes,maculatus,44.25,-58.25,7405:248:1,1.00
Cryptacanthodes,maculatus,44.25,-58.75,7405:248:2,1.00
Cryptacanthodes,maculatus,44.75,-58.25,7405:248:3,1.00
Cryptacanthodes,maculatus,44.25,-59.25,7405:249:1,0.82
Cryptacanthodes,maculatus,44.75,-59.75,7405:249:4,1.00
Cryptacanthodes,maculatus,45.25,-50.25,7405:350:1,1.00
Cryptacanthodes,maculatus,45.25,-50.75,7405:350:2,1.00
Cryptacanthodes,maculatus,45.75,-50.25,7405:350:3,0.89
Cryptacanthodes,maculatus,45.75,-50.75,7405:350:4,1.00
Cryptacanthodes,maculatus,45.25,-51.25,7405:351:1,1.00
Cryptacanthodes,maculatus,45.25,-51.75,7405:351:2,1.00
Cryptacanthodes,maculatus,45.75,-51.25,7405:351:3,1.00
Cryptacanthodes,maculatus,45.75,-51.75,7405:351:4,0.80
Cryptacanthodes,maculatus,45.25,-52.25,7405:352:1,0.87
Cryptacanthodes,maculatus,45.75,-52.25,7405:352:3,1.00
Cryptacanthodes,maculatus,45.75,-52.75,7405:352:4,1.00
Cryptacanthodes,maculatus,45.25,-53.25,7405:353:1,1.00
Cryptacanthodes,maculatus,45.25,-53.75,7405:353:2,1.00
Cryptacanthodes,maculatus,45.75,-53.25,7405:353:3,1.00
Cryptacanthodes,maculatus,45.25,-54.75,7405:354:2,0.96
Cryptacanthodes,maculatus,45.75,-54.25,7405:354:3,0.85
Cryptacanthodes,maculatus,45.75,-54.75,7405:354:4,1.00
Cryptacanthodes,maculatus,46.25,-50.75,7405:360:2,1.00
Cryptacanthodes,maculatus,46.25,-51.25,7405:361:1,0.85
Cryptacanthodes,maculatus,46.25,-51.75,7405:361:2,0.89
Cryptacanthodes,maculatus,46.25,-52.25,7405:362:1,0.82
Cryptacanthodes,maculatus,46.75,-52.75,7405:362:4,1.00
Cryptacanthodes,maculatus,46.25,-53.25,7405:363:1,1.00
Cryptacanthodes,maculatus,46.75,-53.25,7405:363:3,1.00
Cryptacanthodes,maculatus,46.75,-53.75,7405:363:4,1.00
Cryptacanthodes,maculatus,46.75,-54.25,7405:364:3,1.00
Cryptacanthodes,maculatus,47.25,-52.75,7405:372:2,1.00
Cryptacanthodes,maculatus,47.75,-52.75,7405:372:4,1.00
Cryptacanthodes,maculatus,47.25,-53.75,7405:373:2,1.00
Cryptacanthodes,maculatus,47.75,-53.25,7405:373:3,1.00
Cryptacanthodes,maculatus,47.75,-53.75,7405:373:4,1.00
Cryptacanthodes,maculatus,47.25,-54.25,7405:374:1,1.00
Cryptacanthodes,maculatus,47.25,-54.75,7405:374:2,1.00
Cryptacanthodes,maculatus,47.75,-54.25,7405:374:3,1.00
Cryptacanthodes,maculatus,47.75,-54.75,7405:374:4,1.00
Cryptacanthodes,maculatus,48.25,-52.75,7405:382:2,1.00
Cryptacanthodes,maculatus,48.75,-52.75,7405:382:4,1.00
Cryptacanthodes,maculatus,48.25,-53.25,7405:383:1,1.00
Cryptacanthodes,maculatus,48.25,-53.75,7405:383:2,1.00
Cryptacanthodes,maculatus,48.75,-53.25,7405:383:3,1.00
Cryptacanthodes,maculatus,48.75,-53.75,7405:383:4,1.00
Cryptacanthodes,maculatus,49.25,-53.25,7405:393:1,1.00
Cryptacanthodes,maculatus,49.25,-53.75,7405:393:2,1.00
Cryptacanthodes,maculatus,49.75,-53.25,7405:393:3,1.00
Cryptacanthodes,maculatus,49.75,-53.75,7405:393:4,1.00
Cryptacanthodes,maculatus,49.25,-54.25,7405:394:1,0.91
Cryptacanthodes,maculatus,49.25,-54.75,7405:394:2,1.00
Cryptacanthodes,maculatus,49.75,-54.25,7405:394:3,1.00
Cryptacanthodes,maculatus,49.75,-54.75,7405:394:4,1.00
Cryptacanthodes,maculatus,45.25,-55.25,7405:455:1,0.85
Cryptacanthodes,maculatus,45.25,-55.75,7405:455:2,1.00
Cryptacanthodes,maculatus,45.75,-55.25,7405:455:3,0.98
Cryptacanthodes,maculatus,45.75,-55.75,7405:455:4,1.00
Cryptacanthodes,maculatus,45.25,-56.25,7405:456:1,1.00
Cryptacanthodes,maculatus,45.75,-56.25,7405:456:3,1.00
Cryptacanthodes,maculatus,45.75,-56.75,7405:456:4,1.00
Cryptacanthodes,maculatus,45.25,-57.25,7405:457:1,0.93
Cryptacanthodes,maculatus,45.25,-57.75,7405:457:2,1.00
Cryptacanthodes,maculatus,45.25,-58.25,7405:458:1,0.93
Cryptacanthodes,maculatus,45.75,-58.25,7405:458:3,0.87
Cryptacanthodes,maculatus,45.75,-58.75,7405:458:4,0.87
Cryptacanthodes,maculatus,45.75,-59.25,7405:459:3,1.00
Cryptacanthodes,maculatus,45.75,-59.75,7405:459:4,1.00
Cryptacanthodes,maculatus,46.25,-55.25,7405:465:1,0.82
Cryptacanthodes,maculatus,46.25,-55.75,7405:465:2,1.00
Cryptacanthodes,maculatus,46.75,-55.25,7405:465:3,1.00
Cryptacanthodes,maculatus,46.75,-55.75,7405:465:4,1.00
Cryptacanthodes,maculatus,46.25,-56.25,7405:466:1,1.00
Cryptacanthodes,maculatus,46.25,-56.75,7405:466:2,1.00
Cryptacanthodes,maculatus,46.75,-56.25,7405:466:3,1.00
Cryptacanthodes,maculatus,46.75,-56.75,7405:466:4,1.00
Cryptacanthodes,maculatus,46.25,-57.25,7405:467:1,1.00
Cryptacanthodes,maculatus,46.75,-57.25,7405:467:3,1.00
Cryptacanthodes,maculatus,46.25,-59.25,7405:469:1,1.00
Cryptacanthodes,maculatus,46.25,-59.75,7405:469:2,1.00
Cryptacanthodes,maculatus,46.75,-59.75,7405:469:4,0.98
Cryptacanthodes,maculatus,47.25,-55.25,7405:475:1,1.00
Cryptacanthodes,maculatus,47.25,-55.75,7405:475:2,1.00
Cryptacanthodes,maculatus,47.75,-55.25,7405:475:3,1.00
Cryptacanthodes,maculatus,47.75,-55.75,7405:475:4,1.00
Cryptacanthodes,maculatus,47.25,-56.25,7405:476:1,1.00
Cryptacanthodes,maculatus,47.75,-56.25,7405:476:3,1.00
Cryptacanthodes,maculatus,47.75,-56.75,7405:476:4,1.00
Cryptacanthodes,maculatus,47.25,-57.25,7405:477:1,0.96
Cryptacanthodes,maculatus,47.75,-57.25,7405:477:3,1.00
Cryptacanthodes,maculatus,47.75,-57.75,7405:477:4,1.00
Cryptacanthodes,maculatus,47.75,-58.25,7405:478:3,1.00
Cryptacanthodes,maculatus,47.75,-58.75,7405:478:4,1.00
Cryptacanthodes,maculatus,47.75,-59.25,7405:479:3,1.00
Cryptacanthodes,maculatus,48.25,-58.25,7405:488:1,1.00
Cryptacanthodes,maculatus,48.25,-58.75,7405:488:2,1.00
Cryptacanthodes,maculatus,48.75,-58.25,7405:488:3,1.00
Cryptacanthodes,maculatus,48.75,-58.75,7405:488:4,1.00
Cryptacanthodes,maculatus,48.25,-59.25,7405:489:1,1.00
Cryptacanthodes,maculatus,48.75,-59.25,7405:489:3,1.00
Cryptacanthodes,maculatus,49.75,-55.25,7405:495:3,1.00
Cryptacanthodes,maculatus,49.75,-55.75,7405:495:4,1.00
Cryptacanthodes,maculatus,49.75,-56.25,7405:496:3,1.00
Cryptacanthodes,maculatus,49.75,-56.75,7405:496:4,1.00
Cryptacanthodes,maculatus,49.75,-57.75,7405:497:4,1.00
Cryptacanthodes,maculatus,49.25,-58.25,7405:498:1,1.00
Cryptacanthodes,maculatus,49.25,-58.75,7405:498:2,1.00
Cryptacanthodes,maculatus,49.75,-58.25,7405:498:3,1.00
Cryptacanthodes,maculatus,49.25,-59.25,7405:499:1,0.93
Cryptacanthodes,maculatus,42.75,-62.75,7406:122:4,1.00
Cryptacanthodes,maculatus,42.75,-64.75,7406:124:4,1.00
Cryptacanthodes,maculatus,43.25,-60.75,7406:130:2,0.85
Cryptacanthodes,maculatus,43.75,-64.25,7406:134:3,0.80
Cryptacanthodes,maculatus,43.75,-64.75,7406:134:4,1.00
